"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 27 16:16:51 GMT 2023","Thu Jul 27 16:16:53 GMT 2023","2128","Surefire suite","Surefire test","tests.ManageJenkinsTest","tests.ManageJenkinsTest","testCreateUserWithIncorrectCharactersInName","testCreateUserWithIncorrectCharactersInName","Try to create user with invalid characters in name and verify that error message 'User name must only contain alphanumeric characters, underscore and dash' appeared"
"skipped","Thu Jul 27 16:12:06 GMT 2023","Thu Jul 27 16:12:06 GMT 2023","0","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testRenameFreestyleProjectToIncorrectViaSideMenu","testRenameFreestyleProjectToIncorrectViaSideMenu","Verify if error message arrears and contains expected text when attempting to rename an existing project with invalid data"
"passed","Thu Jul 27 16:19:08 GMT 2023","Thu Jul 27 16:19:11 GMT 2023","2173","Surefire suite","Surefire test","tests.FolderTest","tests.FolderTest","testAddFolderDescriptionFromDropDownConfigure","testAddFolderDescriptionFromDropDownConfigure","Ensure the ability to add a description to an existing folder through the folder's dropdown menu"
"passed","Thu Jul 27 16:09:43 GMT 2023","Thu Jul 27 16:09:56 GMT 2023","13448","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testAddAllItemsToListView","testAddAllItemsToListView",""
"skipped","Thu Jul 27 16:10:21 GMT 2023","Thu Jul 27 16:10:21 GMT 2023","0","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testIllegalCharacterRenameView","testIllegalCharacterRenameView",""
"passed","Thu Jul 27 16:13:35 GMT 2023","Thu Jul 27 16:13:38 GMT 2023","2476","Surefire suite","Surefire test","tests.PipelineTest","tests.PipelineTest","testRenamePipelineUsingSpecialCharacter","testRenamePipelineUsingSpecialCharacter","Verify 'Error' page is displayed and '‘<spChar>’ is an unsafe character' error message is displayed if rename pipeline using special character"
"passed","Thu Jul 27 16:18:47 GMT 2023","Thu Jul 27 16:18:50 GMT 2023","3249","Surefire suite","Surefire test","tests.MultibranchPipelineTest","tests.MultibranchPipelineTest","testMoveMenuOptionIsAvailableWhenFolderIsCreated","testMoveMenuOptionIsAvailableWhenFolderIsCreated","Verify that the 'Move' button is available in the side menu for Multibranch Pipeline if the folder is present"
"passed","Thu Jul 27 16:23:51 GMT 2023","Thu Jul 27 16:23:51 GMT 2023","0","Surefire suite","Surefire test","runner.order.OrderForTestsTest","runner.order.OrderForTestsTest","orderMethodsTest","orderMethodsTest",""
"passed","Thu Jul 27 16:15:21 GMT 2023","Thu Jul 27 16:15:22 GMT 2023","608","Surefire suite","Surefire test","tests.HeaderComponentTest","tests.HeaderComponentTest","testReturnFromNewItemPageToHomePageByClickingOnHeadIcon","testReturnFromNewItemPageToHomePageByClickingOnHeadIcon","Verify if click on the Jenkins icon leads to the Main page that confirmed by base URL"
"passed","Thu Jul 27 16:10:22 GMT 2023","Thu Jul 27 16:10:23 GMT 2023","951","Surefire suite","Surefire test","tests.UserProfileTest","tests.UserProfileTest","testUserProfileAddDescription","testUserProfileAddDescription","Verify if the description text on the User Profile page is the same as expected after it has been edited and saved"
"skipped","Thu Jul 27 16:10:21 GMT 2023","Thu Jul 27 16:10:21 GMT 2023","0","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testIllegalCharacterRenameView","testIllegalCharacterRenameView",""
"passed","Thu Jul 27 16:22:43 GMT 2023","Thu Jul 27 16:22:44 GMT 2023","419","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateNewItemTypePipelineWithEmptyName","testCreateNewItemTypePipelineWithEmptyName","Check if pipeline job can be created without name"
"passed","Thu Jul 27 16:20:22 GMT 2023","Thu Jul 27 16:20:25 GMT 2023","2289","Surefire suite","Surefire test","tests.FolderTest","tests.FolderTest","testRenameFolderFromSideMenu","testRenameFolderFromSideMenu","Verify that the name of the folder can be changed through side menu"
"passed","Thu Jul 27 16:22:34 GMT 2023","Thu Jul 27 16:22:36 GMT 2023","2192","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateNewFreestyleProjectWithDuplicateName","testCreateNewFreestyleProjectWithDuplicateName","Check if a new freestyle project can be created using the name of already existing project"
"broken","Thu Jul 27 16:10:21 GMT 2023","Thu Jul 27 16:10:21 GMT 2023","2","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testCreateListViewAndAddSixItems","testCreateListViewAndAddSixItems","Verify that Multibranch Pipeline contains expected Views : Global View, List View, My View"
"passed","Thu Jul 27 16:15:59 GMT 2023","Thu Jul 27 16:16:02 GMT 2023","3493","Surefire suite","Surefire test","tests.ManageJenkinsTest","tests.ManageJenkinsTest","testCreateNewNodeWithExistedNameFromDashboard","testCreateNewNodeWithExistedNameFromDashboard","Create New Node With Existed Name by clicking on 'Build Executor Status' on Dashboard"
"passed","Thu Jul 27 16:18:44 GMT 2023","Thu Jul 27 16:18:46 GMT 2023","1542","Surefire suite","Surefire test","tests.MultibranchPipelineTest","tests.MultibranchPipelineTest","testEnableMultiBranchPipeline","testEnableMultiBranchPipeline","Verify that the 'Multibranch Pipeline' can be enable"
"broken","Thu Jul 27 16:12:06 GMT 2023","Thu Jul 27 16:12:06 GMT 2023","1","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testBuildGitProjectWithBuildStepsMaven","testBuildGitProjectWithBuildStepsMaven","Test if Console Output page  log contains 'T E S T S' section thus proving that tests of sourced project were run.Test if Console Output log contains 'BUILD SUCCESS' text thus proving that the run was successProject sourced from GitHub using Maven with Build Steps goal: 'test'"
"passed","Thu Jul 27 16:22:09 GMT 2023","Thu Jul 27 16:22:11 GMT 2023","1465","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateFolder","testCreateFolder","Check if a new folder can be created"
"skipped","Thu Jul 27 16:12:06 GMT 2023","Thu Jul 27 16:12:06 GMT 2023","0","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testConfigureSourceCodeByGIT","testConfigureSourceCodeByGIT","Verify if project sourced by GitHub successfully built"
"passed","Thu Jul 27 16:14:13 GMT 2023","Thu Jul 27 16:14:15 GMT 2023","2652","Surefire suite","Surefire test","tests.PipelineTest","tests.PipelineTest","testRenamePipelineWithValidName","testRenamePipelineWithValidName","Check if pipeline project can be renamed"
"skipped","Thu Jul 27 16:10:21 GMT 2023","Thu Jul 27 16:10:21 GMT 2023","0","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testEditListViewPageContainsTitleJobFilters","testEditListViewPageContainsTitleJobFilters",""
"skipped","Thu Jul 27 16:12:06 GMT 2023","Thu Jul 27 16:12:06 GMT 2023","0","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testCreateBuildNowOnFreestyleProjectPage","testCreateBuildNowOnFreestyleProjectPage","Verify if the build displayed in the 'Build History' section on the side menu by comparing number of builds before and after current build"
"passed","Thu Jul 27 16:09:00 GMT 2023","Thu Jul 27 16:09:00 GMT 2023","793","Surefire suite","Surefire test","tests.PeoplePageTest","tests.PeoplePageTest","testPeoplePageContent","testPeoplePageContent","Checking for the presence of required elements on the page: header, footer, buttons"
"passed","Thu Jul 27 16:23:51 GMT 2023","Thu Jul 27 16:23:51 GMT 2023","0","Surefire suite","Surefire test","runner.order.OrderForTestsTest","runner.order.OrderForTestsTest","orderMethodsNoDepTest","orderMethodsNoDepTest",""
"passed","Thu Jul 27 16:15:09 GMT 2023","Thu Jul 27 16:15:12 GMT 2023","3049","Surefire suite","Surefire test","tests.HeaderComponentTest","tests.HeaderComponentTest","testCheckTheAppropriateSearchResult","testCheckTheAppropriateSearchResult","Verify that list of search results is not empty and contains expected search request"
"passed","Thu Jul 27 16:22:20 GMT 2023","Thu Jul 27 16:22:22 GMT 2023","1775","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateMultiConfigurationProjectWithValidName","testCreateMultiConfigurationProjectWithValidName","Check if multi-configuration project can be created with valid name"
"passed","Thu Jul 27 16:19:22 GMT 2023","Thu Jul 27 16:19:25 GMT 2023","2622","Surefire suite","Surefire test","tests.FolderTest","tests.FolderTest","testCreateFolderInFolderFromNewItem","testCreateFolderInFolderFromNewItem","Verify the ability to create a new folder in existing folder using the 'New Item' option"
"skipped","Thu Jul 27 16:12:06 GMT 2023","Thu Jul 27 16:12:06 GMT 2023","0","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testFreestyleProjectBuildDateAndTime","testFreestyleProjectBuildDateAndTime","Verify build time displayed in the 'Build History' section of the side menu s the same as system date and time"
"passed","Thu Jul 27 16:12:50 GMT 2023","Thu Jul 27 16:12:50 GMT 2023","556","Surefire suite","Surefire test","tests.PipelineTest","tests.PipelineTest","testEnablePipelineProject","testEnablePipelineProject","Check if pipeline project can be enabled after disabling"
"passed","Thu Jul 27 16:17:46 GMT 2023","Thu Jul 27 16:17:49 GMT 2023","3207","Surefire suite","Surefire test","tests.ManageJenkinsTest","tests.ManageJenkinsTest","testIsEmailPluginInstalledAndEnabled","testIsEmailPluginInstalledAndEnabled","Verify that Email Extension Plugin is installed and enabled"
"skipped","Thu Jul 27 16:12:06 GMT 2023","Thu Jul 27 16:12:06 GMT 2023","0","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testRenameFreestyleProjectToIncorrectViaSideMenu","testRenameFreestyleProjectToIncorrectViaSideMenu","Verify if error message arrears and contains expected text when attempting to rename an existing project with invalid data"
"passed","Thu Jul 27 16:10:33 GMT 2023","Thu Jul 27 16:10:35 GMT 2023","1356","Surefire suite","Surefire test","tests.FooterComponentTest","tests.FooterComponentTest","testFooterLinkJenkinsRedirectToPage","testFooterLinkJenkinsRedirectToPage","Verification that the link redirect to the 'https://www.jenkins.io/'"
"passed","Thu Jul 27 16:16:21 GMT 2023","Thu Jul 27 16:16:23 GMT 2023","2110","Surefire suite","Surefire test","tests.ManageJenkinsTest","tests.ManageJenkinsTest","testCreateUserWithEmptyName","testCreateUserWithEmptyName","Try to create user with empty name and verify that error message '"""" is prohibited as a username for security reasons.' appeared"
"skipped","Thu Jul 27 16:10:21 GMT 2023","Thu Jul 27 16:10:21 GMT 2023","0","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testDeleteListView","testDeleteListView",""
"skipped","Thu Jul 27 16:10:21 GMT 2023","Thu Jul 27 16:10:21 GMT 2023","0","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testIllegalCharacterRenameView","testIllegalCharacterRenameView",""
"passed","Thu Jul 27 16:23:14 GMT 2023","Thu Jul 27 16:23:16 GMT 2023","1922","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateNewPipelineFromExisting","testCreateNewPipelineFromExisting","Check if pipeline project can be created as a copy of existing pipeline project"
"passed","Thu Jul 27 16:10:08 GMT 2023","Thu Jul 27 16:10:09 GMT 2023","976","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testDeselectJobsFromListView","testDeselectJobsFromListView","Verify that added jobs to list view was removed and notification message was appeared"
"skipped","Thu Jul 27 16:12:06 GMT 2023","Thu Jul 27 16:12:06 GMT 2023","0","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testFreestyleProjectPageIsOpenedFromDashboard","testFreestyleProjectPageIsOpenedFromDashboard","Verify if expected Project is opened from Dashboard, appropriate Status page contains an expected text"
"passed","Thu Jul 27 16:19:11 GMT 2023","Thu Jul 27 16:19:14 GMT 2023","2383","Surefire suite","Surefire test","tests.FolderTest","tests.FolderTest","testConfigureChangeFolderDisplayName","testConfigureChangeFolderDisplayName","Verify the ability to create a unique display name for the folder"
"skipped","Thu Jul 27 16:10:21 GMT 2023","Thu Jul 27 16:10:21 GMT 2023","0","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testListViewAddFilterBuildQueue","testListViewAddFilterBuildQueue",""
"skipped","Thu Jul 27 16:12:06 GMT 2023","Thu Jul 27 16:12:06 GMT 2023","1","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testEnableProject","testEnableProject","Verify if the Project status icon displayed an expected status when 'Disable Project' option has been applied"
"skipped","Thu Jul 27 16:12:06 GMT 2023","Thu Jul 27 16:12:06 GMT 2023","0","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testRenameFreestyleProjectToIncorrectViaSideMenu","testRenameFreestyleProjectToIncorrectViaSideMenu","Verify if error message arrears and contains expected text when attempting to rename an existing project with invalid data"
"passed","Thu Jul 27 16:14:17 GMT 2023","Thu Jul 27 16:14:19 GMT 2023","2116","Surefire suite","Surefire test","tests.PipelineTest","tests.PipelineTest","testRenamePipelineWithoutChangingName","testRenamePipelineWithoutChangingName","Verify 'Error' page is displayed and 'The new name is the same as the current name.' error message is displayed if Rename pipeline without changing name"
"passed","Thu Jul 27 16:17:28 GMT 2023","Thu Jul 27 16:17:32 GMT 2023","3892","Surefire suite","Surefire test","tests.ManageJenkinsTest","tests.ManageJenkinsTest","testDeleteUser","testDeleteUser","Delete user by 'delete user' icon in the table on the 'Manage users' page and verify that deleted user is not displayed on the 'Manage users' page"
"passed","Thu Jul 27 16:22:53 GMT 2023","Thu Jul 27 16:22:53 GMT 2023","342","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateNewItemWithSpecialCharacterName","testCreateNewItemWithSpecialCharacterName","Verify that creating NewItem with special characters is not possible"
"passed","Thu Jul 27 16:13:16 GMT 2023","Thu Jul 27 16:13:18 GMT 2023","2412","Surefire suite","Surefire test","tests.PipelineTest","tests.PipelineTest","testRenamePipelineUsingSpecialCharacter","testRenamePipelineUsingSpecialCharacter","Verify 'Error' page is displayed and '‘<spChar>’ is an unsafe character' error message is displayed if rename pipeline using special character"
"passed","Thu Jul 27 16:15:30 GMT 2023","Thu Jul 27 16:15:30 GMT 2023","239","Surefire suite","Surefire test","tests.HeaderComponentTest","tests.HeaderComponentTest","testUserNameInHeaderAndInUserPage","testUserNameInHeaderAndInUserPage","Verify that User name in the header and on the User page are the same and the User page has User ID"
"skipped","Thu Jul 27 16:12:06 GMT 2023","Thu Jul 27 16:12:06 GMT 2023","0","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testSelectBuildPeriodicallyCheckbox","testSelectBuildPeriodicallyCheckbox","Verify if 'Build Periodically' checkbox in the 'Build Triggers' section is checked"
"passed","Thu Jul 27 16:13:08 GMT 2023","Thu Jul 27 16:13:11 GMT 2023","2936","Surefire suite","Surefire test","tests.PipelineTest","tests.PipelineTest","testRenamePipelineUsingSpecialCharacter","testRenamePipelineUsingSpecialCharacter","Verify 'Error' page is displayed and '‘<spChar>’ is an unsafe character' error message is displayed if rename pipeline using special character"
"passed","Thu Jul 27 16:16:11 GMT 2023","Thu Jul 27 16:16:14 GMT 2023","2496","Surefire suite","Surefire test","tests.ManageJenkinsTest","tests.ManageJenkinsTest","testCreateUser","testCreateUser","Create user going from 'Manage Users' page with valid data and verify that new user is created and is displayed on the 'Manage users' page"
"passed","Thu Jul 27 16:14:20 GMT 2023","Thu Jul 27 16:14:24 GMT 2023","4027","Surefire suite","Surefire test","tests.PipelineTest","tests.PipelineTest","testRenamedPipelineIsDisplayedInMyViews","testRenamedPipelineIsDisplayedInMyViews","Verify if renamed pipeline is displayed in 'My Views'"
"skipped","Thu Jul 27 16:10:21 GMT 2023","Thu Jul 27 16:10:21 GMT 2023","0","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testIllegalCharacterRenameView","testIllegalCharacterRenameView",""
"passed","Thu Jul 27 16:13:04 GMT 2023","Thu Jul 27 16:13:07 GMT 2023","2911","Surefire suite","Surefire test","tests.PipelineTest","tests.PipelineTest","testRenamePipelineUsingSpecialCharacter","testRenamePipelineUsingSpecialCharacter","Verify 'Error' page is displayed and '‘<spChar>’ is an unsafe character' error message is displayed if rename pipeline using special character"
"passed","Thu Jul 27 16:22:55 GMT 2023","Thu Jul 27 16:22:56 GMT 2023","600","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateNewItemWithSpecialCharacterName","testCreateNewItemWithSpecialCharacterName","Verify that creating NewItem with special characters is not possible"
"passed","Thu Jul 27 16:21:11 GMT 2023","Thu Jul 27 16:21:13 GMT 2023","2321","Surefire suite","Surefire test","tests.MultiConfigurationProjectTest","tests.MultiConfigurationProjectTest","testMultiConfigurationProjectRenameProjectViaSideMenu","testMultiConfigurationProjectRenameProjectViaSideMenu",""
"skipped","Thu Jul 27 16:12:06 GMT 2023","Thu Jul 27 16:12:06 GMT 2023","0","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testRenameFreestyleProjectToIncorrectViaSideMenu","testRenameFreestyleProjectToIncorrectViaSideMenu","Verify if error message arrears and contains expected text when attempting to rename an existing project with invalid data"
"passed","Thu Jul 27 16:19:33 GMT 2023","Thu Jul 27 16:19:36 GMT 2023","3225","Surefire suite","Surefire test","tests.FolderTest","tests.FolderTest","testCreateFreestyleProjectInFolderCreateJob","testCreateFreestyleProjectInFolderCreateJob","Verify ability to create 'Freestyle project' in folder using the option 'Create a job'"
"passed","Thu Jul 27 16:23:17 GMT 2023","Thu Jul 27 16:23:27 GMT 2023","9299","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateOneItemFromListOfJobTypes","testCreateOneItemFromListOfJobTypes","Verify that all six different job types can be created"
"passed","Thu Jul 27 16:22:51 GMT 2023","Thu Jul 27 16:22:51 GMT 2023","361","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateNewItemWithSpecialCharacterName","testCreateNewItemWithSpecialCharacterName","Verify that creating NewItem with special characters is not possible"
"passed","Thu Jul 27 16:18:59 GMT 2023","Thu Jul 27 16:19:01 GMT 2023","2177","Surefire suite","Surefire test","tests.MultibranchPipelineTest","tests.MultibranchPipelineTest","testRenameMultiBranchPipelineFromDropdown","testRenameMultiBranchPipelineFromDropdown","Verify that 'Multibranch Pipeline' can be renamed from the drop-down menu"
"passed","Thu Jul 27 16:23:06 GMT 2023","Thu Jul 27 16:23:07 GMT 2023","599","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateNewItemWithSpecialCharacterName","testCreateNewItemWithSpecialCharacterName","Verify that creating NewItem with special characters is not possible"
"passed","Thu Jul 27 16:16:38 GMT 2023","Thu Jul 27 16:16:41 GMT 2023","2254","Surefire suite","Surefire test","tests.ManageJenkinsTest","tests.ManageJenkinsTest","testCreateUserWithIncorrectCharactersInName","testCreateUserWithIncorrectCharactersInName","Try to create user with invalid characters in name and verify that error message 'User name must only contain alphanumeric characters, underscore and dash' appeared"
"passed","Thu Jul 27 16:18:38 GMT 2023","Thu Jul 27 16:18:40 GMT 2023","2087","Surefire suite","Surefire test","tests.MultibranchPipelineTest","tests.MultibranchPipelineTest","testDeleteMultibranchPipelineUsingDropDown","testDeleteMultibranchPipelineUsingDropDown","Check if MultibranchPipeline can be deleted"
"passed","Thu Jul 27 16:17:03 GMT 2023","Thu Jul 27 16:17:05 GMT 2023","1859","Surefire suite","Surefire test","tests.ManageJenkinsTest","tests.ManageJenkinsTest","testCreateUserWithIncorrectCharactersInName","testCreateUserWithIncorrectCharactersInName","Try to create user with invalid characters in name and verify that error message 'User name must only contain alphanumeric characters, underscore and dash' appeared"
"passed","Thu Jul 27 16:19:02 GMT 2023","Thu Jul 27 16:19:04 GMT 2023","2465","Surefire suite","Surefire test","tests.MultibranchPipelineTest","tests.MultibranchPipelineTest","testRenameMultiBranchPipelineFromLeftSideMenu","testRenameMultiBranchPipelineFromLeftSideMenu","Verify that 'Multibranch Pipeline' can be renamed from Side menu"
"passed","Thu Jul 27 16:18:54 GMT 2023","Thu Jul 27 16:18:58 GMT 2023","4013","Surefire suite","Surefire test","tests.MultibranchPipelineTest","tests.MultibranchPipelineTest","testMoveMultiBranchPipeline","testMoveMultiBranchPipeline","Verify that the 'Multibranch Pipeline' can be moved to another folder"
"skipped","Thu Jul 27 16:10:21 GMT 2023","Thu Jul 27 16:10:21 GMT 2023","0","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testMultipleSpacesRenameView","testMultipleSpacesRenameView",""
"passed","Thu Jul 27 16:23:30 GMT 2023","Thu Jul 27 16:23:31 GMT 2023","977","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateOrgFolderWithEmptyName","testCreateOrgFolderWithEmptyName","Check if organization folder can be created with empty name"
"passed","Thu Jul 27 16:10:39 GMT 2023","Thu Jul 27 16:10:42 GMT 2023","2638","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testAddDescription","testAddDescription","Verify if expected description of the project has been added"
"passed","Thu Jul 27 16:15:15 GMT 2023","Thu Jul 27 16:15:15 GMT 2023","314","Surefire suite","Surefire test","tests.HeaderComponentTest","tests.HeaderComponentTest","testIsJenkinsNameIconExist","testIsJenkinsNameIconExist","Verify if Jenkins Icon is displayed in the Header"
"passed","Thu Jul 27 16:13:27 GMT 2023","Thu Jul 27 16:13:30 GMT 2023","3112","Surefire suite","Surefire test","tests.PipelineTest","tests.PipelineTest","testRenamePipelineUsingSpecialCharacter","testRenamePipelineUsingSpecialCharacter","Verify 'Error' page is displayed and '‘<spChar>’ is an unsafe character' error message is displayed if rename pipeline using special character"
"passed","Thu Jul 27 16:22:12 GMT 2023","Thu Jul 27 16:22:12 GMT 2023","385","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateFreestyleProjectWithEmptyName","testCreateFreestyleProjectWithEmptyName","Check if a new freestyle project with empty name can be created"
"skipped","Thu Jul 27 16:10:21 GMT 2023","Thu Jul 27 16:10:21 GMT 2023","1","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testIllegalCharacterRenameView","testIllegalCharacterRenameView",""
"passed","Thu Jul 27 16:23:51 GMT 2023","Thu Jul 27 16:23:51 GMT 2023","0","Surefire suite","Surefire test","runner.order.OrderForTestsTest","runner.order.OrderForTestsTest","orderMethodsOneGroupDepTest","orderMethodsOneGroupDepTest",""
"passed","Thu Jul 27 16:23:00 GMT 2023","Thu Jul 27 16:23:00 GMT 2023","344","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateNewItemWithSpecialCharacterName","testCreateNewItemWithSpecialCharacterName","Verify that creating NewItem with special characters is not possible"
"skipped","Thu Jul 27 16:10:21 GMT 2023","Thu Jul 27 16:10:21 GMT 2023","0","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testIllegalCharacterRenameView","testIllegalCharacterRenameView",""
"passed","Thu Jul 27 16:15:26 GMT 2023","Thu Jul 27 16:15:27 GMT 2023","716","Surefire suite","Surefire test","tests.HeaderComponentTest","tests.HeaderComponentTest","testUserDropdownMenuToOpenCredentialsUserPage","testUserDropdownMenuToOpenCredentialsUserPage","Verify if 'Credentials' link in the User dropdown menu leads to the expected page named as 'Credentials'"
"skipped","Thu Jul 27 16:12:06 GMT 2023","Thu Jul 27 16:12:06 GMT 2023","1","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testRenameFreestyleProjectToIncorrectViaSideMenu","testRenameFreestyleProjectToIncorrectViaSideMenu","Verify if error message arrears and contains expected text when attempting to rename an existing project with invalid data"
"passed","Thu Jul 27 16:12:07 GMT 2023","Thu Jul 27 16:12:10 GMT 2023","3222","Surefire suite","Surefire test","tests.PipelineTest","tests.PipelineTest","testAddDescriptionInExistPipeline","testAddDescriptionInExistPipeline","Verify the description for Pipeline project on the Pipeline page is displayed if add description to existing project"
"skipped","Thu Jul 27 16:12:06 GMT 2023","Thu Jul 27 16:12:06 GMT 2023","1","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testRenameFreestyleProjectToIncorrectViaSideMenu","testRenameFreestyleProjectToIncorrectViaSideMenu","Verify if error message arrears and contains expected text when attempting to rename an existing project with invalid data"
"passed","Thu Jul 27 16:15:31 GMT 2023","Thu Jul 27 16:15:34 GMT 2023","2392","Surefire suite","Surefire test","tests.BuildHistoryTest","tests.BuildHistoryTest","testH1HeaderBuildHistory","testH1HeaderBuildHistory","Verify the header of the 'Build  History' page"
"passed","Thu Jul 27 16:23:49 GMT 2023","Thu Jul 27 16:23:49 GMT 2023","338","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testNewItemPageContainsSixItems","testNewItemPageContainsSixItems","Check if NewItemPage contains all six project types: Freestyle project, Pipeline, Multi-configuration project, Folder, Multibranch Pipeline, Organization Folder"
"passed","Thu Jul 27 16:21:44 GMT 2023","Thu Jul 27 16:21:51 GMT 2023","7766","Surefire suite","Surefire test","tests.MultiConfigurationProjectTest","tests.MultiConfigurationProjectTest","testSetConfigurationMatrix","testSetConfigurationMatrix",""
"passed","Thu Jul 27 16:23:51 GMT 2023","Thu Jul 27 16:23:51 GMT 2023","1","Surefire suite","Surefire test","runner.order.OrderForTestsTest","runner.order.OrderForTestsTest","orderMethodsForkDownDepTest","orderMethodsForkDownDepTest",""
"unknown","Thu Jul 27 16:08:35 GMT 2023","Thu Jul 27 16:08:35 GMT 2023","7","Surefire suite","Surefire test","tests.PipelineTest","tests.PipelineTest","testBuildParametrizedProject","testBuildParametrizedProject","Verify Console Output contains Tests result 'BUILD SUCCESS' and Message: 'Finished: SUCCESS' if build parametrized project"
"passed","Thu Jul 27 16:23:02 GMT 2023","Thu Jul 27 16:23:02 GMT 2023","407","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateNewItemWithSpecialCharacterName","testCreateNewItemWithSpecialCharacterName","Verify that creating NewItem with special characters is not possible"
"passed","Thu Jul 27 16:16:07 GMT 2023","Thu Jul 27 16:16:09 GMT 2023","2293","Surefire suite","Surefire test","tests.ManageJenkinsTest","tests.ManageJenkinsTest","testCreateNewNodeWithValidNameFromDashboard","testCreateNewNodeWithValidNameFromDashboard","Create New Node by clicking on 'Build Executor Status' on Dashboard"
"passed","Thu Jul 27 16:23:11 GMT 2023","Thu Jul 27 16:23:11 GMT 2023","625","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateNewItemWithSpecialCharacterName","testCreateNewItemWithSpecialCharacterName","Verify that creating NewItem with special characters is not possible"
"passed","Thu Jul 27 16:16:24 GMT 2023","Thu Jul 27 16:16:26 GMT 2023","1801","Surefire suite","Surefire test","tests.ManageJenkinsTest","tests.ManageJenkinsTest","testCreateUserWithEmptyPassword","testCreateUserWithEmptyPassword","Try to create user with empty 'Password' field and verify that error message 'Password is required' appeared"
"skipped","Thu Jul 27 16:12:06 GMT 2023","Thu Jul 27 16:12:06 GMT 2023","0","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testRenameFreestyleProjectToIncorrectViaSideMenu","testRenameFreestyleProjectToIncorrectViaSideMenu","Verify if error message arrears and contains expected text when attempting to rename an existing project with invalid data"
"skipped","Thu Jul 27 16:10:21 GMT 2023","Thu Jul 27 16:10:21 GMT 2023","1","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testEditGlobalViewPageViewNameLabelContainsDescription","testEditGlobalViewPageViewNameLabelContainsDescription",""
"passed","Thu Jul 27 16:10:36 GMT 2023","Thu Jul 27 16:10:36 GMT 2023","564","Surefire suite","Surefire test","tests.FooterComponentTest","tests.FooterComponentTest","testFooterLinkRestRedirectToPage","testFooterLinkRestRedirectToPage","Verification that the link redirect to the '/api/' page"
